gene,is_cgc
RAD51B,in_cgc
RAF1,in_cgc
RALGDS,in_cgc
RANBP2,in_cgc
RAP1GDS1,in_cgc
RARA,in_cgc
RB1,in_cgc
RBM10,in_cgc
RBM15,in_cgc
RECQL4,in_cgc
REL,in_cgc
RET,in_cgc
RFWD3,in_cgc
RGPD3,in_cgc
RGS7,in_cgc
RHOA,in_cgc
RHOH,in_cgc
RMI2,in_cgc
RNF213,in_cgc
RNF43,in_cgc
ROBO2,in_cgc
ROS1,in_cgc
RPL10,in_cgc
RPL22,in_cgc
RPL5,in_cgc
RPN1,in_cgc
RSPO2,in_cgc
RSPO3,in_cgc
RUNX1,in_cgc
RUNX1T1,in_cgc
S100A7,in_cgc
SALL4,in_cgc
SBDS,in_cgc
SDC4,in_cgc
SDHA,in_cgc
SDHAF2,in_cgc
SDHB,in_cgc
SDHC,in_cgc
SDHD,in_cgc
SEPT5,in_cgc
SEPT6,in_cgc
SEPT9,in_cgc
SET,in_cgc
SETBP1,in_cgc
SETD1B,in_cgc
SETD2,in_cgc
SETDB1,in_cgc
SF3B1,in_cgc
SFPQ,in_cgc
SFRP4,in_cgc
SGK1,in_cgc
SH2B3,in_cgc
SH3GL1,in_cgc
SHTN1,in_cgc
SIRPA,in_cgc
SIX1,in_cgc
SIX2,in_cgc
SKI,in_cgc
SLC34A2,in_cgc
SLC45A3,in_cgc
SMAD2,in_cgc
SMAD3,in_cgc
SMAD4,in_cgc
SMARCA4,in_cgc
SMARCB1,in_cgc
SMARCD1,in_cgc
SMARCE1,in_cgc
SMC1A,in_cgc
SMO,in_cgc
SND1,in_cgc
SNX29,in_cgc
SOCS1,in_cgc
SOX2,in_cgc
SOX21,in_cgc
SPECC1,in_cgc
SPEN,in_cgc
SPOP,in_cgc
SRC,in_cgc
SRGAP3,in_cgc
SRSF2,in_cgc
SRSF3,in_cgc
SS18,in_cgc
SS18L1,in_cgc
SSX1,in_cgc
SSX2,in_cgc
SSX4,in_cgc
STAG1,in_cgc
STAG2,in_cgc
STAT3,in_cgc
STAT5B,in_cgc
STAT6,in_cgc
STIL,in_cgc
STK11,in_cgc
STRN,in_cgc
SUFU,in_cgc
SUZ12,in_cgc
SYK,in_cgc
TAF15,in_cgc
TAL1,in_cgc
TAL2,in_cgc
TBL1XR1,in_cgc
TBX3,in_cgc
TCEA1,in_cgc
TCF12,in_cgc
TCF3,in_cgc
TCF7L2,in_cgc
TCL1A,in_cgc
TEC,in_cgc
TENT5C,in_cgc
TERT,in_cgc
TET1,in_cgc
TET2,in_cgc
TFE3,in_cgc
TFEB,in_cgc
TFG,in_cgc
TFPT,in_cgc
TFRC,in_cgc
TGFBR2,in_cgc
THRAP3,in_cgc
TLX1,in_cgc
TLX3,in_cgc
TMEM127,in_cgc
TMPRSS2,in_cgc
TMSB4X,in_cgc
TNC,in_cgc
TNFAIP3,in_cgc
TNFRSF14,in_cgc
TNFRSF17,in_cgc
TOP1,in_cgc
TP53,in_cgc
TP63,in_cgc
TPM3,in_cgc
TPM4,in_cgc
TPR,in_cgc
TRA,in_cgc
TRAF7,in_cgc
TRB,in_cgc
TRD,in_cgc
TRIM24,in_cgc
TRIM27,in_cgc
TRIM33,in_cgc
TRIP11,in_cgc
TRRAP,in_cgc
TSC1,in_cgc
TSC2,in_cgc
TSHR,in_cgc
U2AF1,in_cgc
UBR5,in_cgc
USP44,in_cgc
USP6,in_cgc
USP8,in_cgc
USP9X,in_cgc
VAV1,in_cgc
VHL,in_cgc
VTI1A,in_cgc
WAS,in_cgc
WDCP,in_cgc
WIF1,in_cgc
WNK2,in_cgc
WRN,in_cgc
WT1,in_cgc
WWTR1,in_cgc
XPA,in_cgc
XPC,in_cgc
XPO1,in_cgc
YWHAE,in_cgc
ZBTB16,in_cgc
ZCCHC8,in_cgc
ZEB1,in_cgc
ZFHX3,in_cgc
ZMYM2,in_cgc
ZMYM3,in_cgc
ZNF331,in_cgc
ZNF384,in_cgc
ZNF429,in_cgc
ZNF479,in_cgc
ZNF521,in_cgc
ZNRF3,in_cgc
ZRSR2,in_cgc
